objectid,tipe,npsn,nama,alamat,lat,lon,keterangan,kuota
33469,SMP,"20103573",SMP Negeri 263,Jl. Dukuh IV,-6.295100000000000,106.879000000000005,,"215"
33477,SMP,"20103509",SMP NEGERI 157 JAKARTA,Lubang Buaya,-6.294100000000000,106.900899999999993,,"228"
33493,SMP,"20103624",SMP NEGERI 24 JAKARTA,Jl. Dukuh V,-6.292400000000000,106.876599999999996,,"96"
33495,SMP,"20103570",SMP Negeri 272,JL. AL BAIDHO 1,-6.292000000000000,106.903700000000001,,"176"
33511,SMP,"20103637",SMP Negeri 209,Jl. Pelita,-6.290600000000000,106.875699999999995,,"138"
33517,SMP,"20103603",SMP Negeri 246,Jl. SPG 7,-6.290200000000000,106.903400000000005,,"81"
33543,SMP,"20103591",SMP NEGERI 81 JAKARTA,Jl. Monumen Pancasila Sakti,-6.287600000000000,106.904600000000002,,"183"
33547,SMP,"20103510",SMP Negeri 150,Jl. Batu Tumbuh VII,-6.287300000000000,106.876000000000005,,"177"
33561,SMP,"20103620",SMP Negeri 20,Jl. Komp. Bulak Rantai,-6.285800000000000,106.869100000000003,,"249"
33564,SMP,"20109183",SMP Negeri 49 Jakarta,Jl. Raya Bogor Km. 20,-6.285400000000000,106.871300000000005,,"97"
33598,SMP,"20107181",SMP Negeri 287,Jl. Sarbini I,-6.282700000000000,106.880899999999997,,"192"
33600,SMP,"20103520",SMP NEGERI 128 JAKARTA,Jl. Hercules Komplek Skadron Halim Perdanakusuma,-6.282500000000000,106.880799999999994,,"97"
33670,SMP,"20103568",SMP NEGERI 281 JAKARTA,Jl. Kerja Bakti,-6.275200000000000,106.871300000000005,,"105"
33682,SMP,"20103599",SMP Negeri 50,Komplek Kodam Jaya Cililitan II,-6.273800000000000,106.868700000000004,,"185"
33837,SMP,"20103569",SMP Negeri 275,Jl. Jengki Cipinang Asem,-6.259700000000000,106.877499999999998,,"158"
33859,SMP,"20103572",SMP NEGERI 268 JAKARTA,Jl. Sd Inpres,-6.258100000000000,106.881799999999998,,"155"
33911,SMP,"20103634",SMP NEGERI 214 JAKARTA,Jl. Rajawali Raya,-6.253600000000000,106.890699999999995,,"217"
